Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",12.375000,39.400000,0.000000,top
"C2","100nF","C_0603_1608Metric",15.575000,39.400000,0.000000,top
"C3","100nF","C_0603_1608Metric",23.575000,39.400000,0.000000,top
"D1","1N4448","D_SOD-323",49.450000,20.000000,0.000000,top
"D2","1N4448","D_SOD-323",49.450000,17.400000,0.000000,top
"D3","1N4448","D_SOD-323",72.050000,20.200000,0.000000,top
"D4","1N4448","D_SOD-323",72.050000,17.600000,0.000000,top
"D5","BAT54S","SOT-23",28.800000,43.200000,0.000000,top
"D7","BAT54S","SOT-23",12.537500,43.150000,0.000000,top
"Q1","MMBT3904","SOT-23",17.537500,43.150000,0.000000,top
"R1","10k","R_0603_1608Metric",38.825000,5.200000,180.000000,top
"R2","10k","R_0603_1608Metric",44.025000,5.200000,0.000000,top
"R3","10k","R_0603_1608Metric",66.825000,5.400000,0.000000,top
"R4","10k","R_0603_1608Metric",63.025000,5.400000,0.000000,top
"R5","10k","R_0603_1608Metric",59.625000,5.400000,0.000000,top
"R6","47R","R_0603_1608Metric",12.425000,36.400000,0.000000,top
"R7","10k","R_0603_1608Metric",15.625000,36.400000,180.000000,top
"R8","1k","R_0603_1608Metric",20.425000,39.400000,0.000000,top
"R9","10k","R_0603_1608Metric",20.425000,36.400000,0.000000,top
"R10","10k","R_0603_1608Metric",23.625000,36.400000,180.000000,top
"R11","10k","R_0603_1608Metric",71.800000,27.825000,90.000000,top
"SW1","SW_DIP_x02","DIP-4_W8.89mm_SMDSocket_LongPads",17.645000,30.870000,0.000000,top
"U1","74LS390","SSOP-16_4.4x5.2mm_P0.65mm",67.000000,42.400000,0.000000,top
"U2","74LS390","SSOP-16_4.4x5.2mm_P0.65mm",75.000000,42.400000,0.000000,top
"U3","74LS390","SSOP-16_4.4x5.2mm_P0.65mm",67.000000,34.400000,0.000000,top
"U4","74LS390","SSOP-16_4.4x5.2mm_P0.65mm",75.000000,34.400000,0.000000,top
"U5","74AHC1G04","SOT-23-5",56.400000,18.400000,0.000000,top
"U6","74LV8154","TSSOP-20_4.4x6.5mm_P0.65mm",41.200000,12.000000,0.000000,top
"U7","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",52.020000,9.900000,0.000000,top
"U8","74AHC1G04","SOT-23-5",77.000000,18.600000,0.000000,top
"U9","74LV8154","TSSOP-20_4.4x6.5mm_P0.65mm",63.100000,12.000000,0.000000,top
"U10","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",74.190000,10.000000,0.000000,top
"U12","74AHC1G04","SOT-23-5",23.137500,43.200000,0.000000,top
